JD_ID,EXP_JD_ID,Industry,Role_Family,Seniority,Region,Framing,Full_Job_Description,Source_Phrases
JD027,EXP_091,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,China,Neutral,"**Job Title:** Senior-Level Procurement
**Location:** China

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
JD028,EXP_092,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,China,Balanced,"**Job Title:** Senior-Level Procurement
**Location:** China

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.

**Competencies:**
- Break down and solve complex business problems.
- Use data insights to identify opportunities and improve customer experience.
- Influence stakeholders across all levels of the organization.
- Apply critical thinking to solve challenges.
- Liaise with customer services to ensure queries are resolved in a timely manner.
- Cultivate and manage productive supplier relationships.
- Collaborate with cross-functional teams to drive effective product marketing.
- Mentor and coach colleagues to build high-performing teams.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
JD029,EXP_093,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,Europe,Neutral,"**Job Title:** Senior-Level Procurement
**Location:** Europe

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
JD030,EXP_094,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,Europe,Balanced,"**Job Title:** Senior-Level Procurement
**Location:** Europe

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.

**Competencies:**
- Break down and solve complex business problems.
- Use data insights to identify opportunities and improve customer experience.
- Influence stakeholders across all levels of the organization.
- Apply critical thinking to solve challenges.
- Liaise with customer services to ensure queries are resolved in a timely manner.
- Cultivate and manage productive supplier relationships.
- Collaborate with cross-functional teams to drive effective product marketing.
- Mentor and coach colleagues to build high-performing teams.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
JD031,EXP_095,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,Singapore,Neutral,"**Job Title:** Senior-Level Procurement
**Location:** Singapore

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
JD032,EXP_096,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,Singapore,Balanced,"**Job Title:** Senior-Level Procurement
**Location:** Singapore

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.

**Competencies:**
- Break down and solve complex business problems.
- Use data insights to identify opportunities and improve customer experience.
- Influence stakeholders across all levels of the organization.
- Apply critical thinking to solve challenges.
- Liaise with customer services to ensure queries are resolved in a timely manner.
- Cultivate and manage productive supplier relationships.
- Collaborate with cross-functional teams to drive effective product marketing.
- Mentor and coach colleagues to build high-performing teams.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
JD033,EXP_113,Project Management / Programme Management,Project Management,Entry-Level,USA,Neutral,"**Job Title:** Entry-Level Project Management
**Location:** USA

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
JD034,EXP_114,Project Management / Programme Management,Project Management,Entry-Level,USA,Balanced,"**Job Title:** Entry-Level Project Management
**Location:** USA

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.

**Competencies:**
- Identify problems and drive to a resolution.
- Remain results-driven in all project phases.
- Navigate uncertainty with professional composure.
- Drive interpersonal relationships, foster effective communication, and manage conflicts.
- Establish solid working relationships with multiple clients.
- Facilitate team and client meetings effectively.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
JD035,EXP_115,Project Management / Programme Management,Project Management,Entry-Level,China,Neutral,"**Job Title:** Entry-Level Project Management
**Location:** China

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
JD036,EXP_116,Project Management / Programme Management,Project Management,Entry-Level,China,Balanced,"**Job Title:** Entry-Level Project Management
**Location:** China

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.

**Competencies:**
- Identify problems and drive to a resolution.
- Remain results-driven in all project phases.
- Navigate uncertainty with professional composure.
- Drive interpersonal relationships, foster effective communication, and manage conflicts.
- Establish solid working relationships with multiple clients.
- Facilitate team and client meetings effectively.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
JD037,EXP_117,Project Management / Programme Management,Project Management,Entry-Level,Europe,Neutral,"**Job Title:** Entry-Level Project Management
**Location:** Europe

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
JD038,EXP_118,Project Management / Programme Management,Project Management,Entry-Level,Europe,Balanced,"**Job Title:** Entry-Level Project Management
**Location:** Europe

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.

**Competencies:**
- Identify problems and drive to a resolution.
- Remain results-driven in all project phases.
- Navigate uncertainty with professional composure.
- Drive interpersonal relationships, foster effective communication, and manage conflicts.
- Establish solid working relationships with multiple clients.
- Facilitate team and client meetings effectively.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
JD039,EXP_119,Project Management / Programme Management,Project Management,Entry-Level,Singapore,Neutral,"**Job Title:** Entry-Level Project Management
**Location:** Singapore

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
JD040,EXP_120,Project Management / Programme Management,Project Management,Entry-Level,Singapore,Balanced,"**Job Title:** Entry-Level Project Management
**Location:** Singapore

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.

**Competencies:**
- Identify problems and drive to a resolution.
- Remain results-driven in all project phases.
- Navigate uncertainty with professional composure.
- Drive interpersonal relationships, foster effective communication, and manage conflicts.
- Establish solid working relationships with multiple clients.
- Facilitate team and client meetings effectively.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
JD041,EXP_121,Project Management / Programme Management,Project Management,Senior-Level,USA,Neutral,"**Job Title:** Senior-Level Project Management
**Location:** USA

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
JD042,EXP_122,Project Management / Programme Management,Project Management,Senior-Level,USA,Balanced,"**Job Title:** Senior-Level Project Management
**Location:** USA

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.

**Competencies:**
- Identify problems and drive to a resolution.
- Remain results-driven in all project phases.
- Navigate uncertainty with professional composure.
- Drive interpersonal relationships, foster effective communication, and manage conflicts.
- Establish solid working relationships with multiple clients.
- Facilitate team and client meetings effectively.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
JD043,EXP_123,Project Management / Programme Management,Project Management,Senior-Level,China,Neutral,"**Job Title:** Senior-Level Project Management
**Location:** China

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
JD044,EXP_124,Project Management / Programme Management,Project Management,Senior-Level,China,Balanced,"**Job Title:** Senior-Level Project Management
**Location:** China

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.

**Competencies:**
- Identify problems and drive to a resolution.
- Remain results-driven in all project phases.
- Navigate uncertainty with professional composure.
- Drive interpersonal relationships, foster effective communication, and manage conflicts.
- Establish solid working relationships with multiple clients.
- Facilitate team and client meetings effectively.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
JD045,EXP_125,Project Management / Programme Management,Project Management,Senior-Level,Europe,Neutral,"**Job Title:** Senior-Level Project Management
**Location:** Europe

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
JD046,EXP_126,Project Management / Programme Management,Project Management,Senior-Level,Europe,Balanced,"**Job Title:** Senior-Level Project Management
**Location:** Europe

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.

**Competencies:**
- Identify problems and drive to a resolution.
- Remain results-driven in all project phases.
- Navigate uncertainty with professional composure.
- Drive interpersonal relationships, foster effective communication, and manage conflicts.
- Establish solid working relationships with multiple clients.
- Facilitate team and client meetings effectively.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
JD047,EXP_127,Project Management / Programme Management,Project Management,Senior-Level,Singapore,Neutral,"**Job Title:** Senior-Level Project Management
**Location:** Singapore

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
JD048,EXP_128,Project Management / Programme Management,Project Management,Senior-Level,Singapore,Balanced,"**Job Title:** Senior-Level Project Management
**Location:** Singapore

**Responsibilities:**
- Drive the review and evaluation of contract conditions.
- Assist with ad hoc tasks to support the team.
- Prepare and sign mandatory documentation.
- Act as the point of contact for client requests.
- Apply project strategies to daily operations.
- Ensure project success through the delivery of technical solutions.
- Monitor campaign delivery and provide adjustments to clients.

**Requirements:**
- Establish operating procedures, work assignments, and planning activities.
- Possess pre-sales exposure.
- Demonstrate an understanding of risks and downstream impacts of inaccurate data capture.
- Demonstrate project management, consulting, and facilitation knowledge.
- Utilize formal project management techniques.

**Competencies:**
- Identify problems and drive to a resolution.
- Remain results-driven in all project phases.
- Navigate uncertainty with professional composure.
- Drive interpersonal relationships, foster effective communication, and manage conflicts.
- Establish solid working relationships with multiple clients.
- Facilitate team and client meetings effectively.","P_007264, P_018320, P_007269, P_018316, P_022700, P_009988, P_009611, P_006731, P_006732, P_006717, P_006329, P_022714, P_006713, P_022718, P_006714, P_007281, P_018315, P_022704"
