JD_ID,Industry,Role_Family,Seniority,Region,Framing,Full_Job_Description,Source_Phrases
EXP_043,Sales / Business Development,Sales,Senior-Level,China,Neutral,"**Job Title:** Senior-Level Sales
**Location:** China

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
EXP_044,Sales / Business Development,Sales,Senior-Level,China,Balanced,"**Job Title:** Senior-Level Sales
**Location:** China

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.

**Competencies:**
- Drive consistent results.
- Demonstrate achievement orientation.
- Act as a self-starter.
- Exhibit a growth mindset.
- Collaborate across functions.
- Represent diverse customer perspectives to stakeholders.
- Foster positive interpersonal relationships.
- Establish robust customer and partner connections.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
EXP_045,Sales / Business Development,Sales,Senior-Level,Europe,Neutral,"**Job Title:** Senior-Level Sales
**Location:** Europe

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
EXP_046,Sales / Business Development,Sales,Senior-Level,Europe,Balanced,"**Job Title:** Senior-Level Sales
**Location:** Europe

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.

**Competencies:**
- Drive consistent results.
- Demonstrate achievement orientation.
- Act as a self-starter.
- Exhibit a growth mindset.
- Collaborate across functions.
- Represent diverse customer perspectives to stakeholders.
- Foster positive interpersonal relationships.
- Establish robust customer and partner connections.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
EXP_047,Sales / Business Development,Sales,Senior-Level,Singapore,Neutral,"**Job Title:** Senior-Level Sales
**Location:** Singapore

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
EXP_048,Sales / Business Development,Sales,Senior-Level,Singapore,Balanced,"**Job Title:** Senior-Level Sales
**Location:** Singapore

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.

**Competencies:**
- Drive consistent results.
- Demonstrate achievement orientation.
- Act as a self-starter.
- Exhibit a growth mindset.
- Collaborate across functions.
- Represent diverse customer perspectives to stakeholders.
- Foster positive interpersonal relationships.
- Establish robust customer and partner connections.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
EXP_049,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,USA,Neutral,"**Job Title:** Entry-Level Procurement
**Location:** USA

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_050,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,USA,Balanced,"**Job Title:** Entry-Level Procurement
**Location:** USA

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.

**Competencies:**
- Use insights to identify opportunities and continuously improve customer experience.
- Break down and solve complex business problems.
- Attune to the needs of users.
- Expand personal knowledge and skills.
- Identify, initiate, cultivate, and manage supplier relationships.
- Collaborate with cross-functional teams to ensure effective product marketing.
- Communicate clearly with suppliers.
- Adapt to changing environments.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_051,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,China,Neutral,"**Job Title:** Entry-Level Procurement
**Location:** China

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_052,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,China,Balanced,"**Job Title:** Entry-Level Procurement
**Location:** China

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.

**Competencies:**
- Use insights to identify opportunities and continuously improve customer experience.
- Break down and solve complex business problems.
- Attune to the needs of users.
- Expand personal knowledge and skills.
- Identify, initiate, cultivate, and manage supplier relationships.
- Collaborate with cross-functional teams to ensure effective product marketing.
- Communicate clearly with suppliers.
- Adapt to changing environments.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_053,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,Europe,Neutral,"**Job Title:** Entry-Level Procurement
**Location:** Europe

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_054,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,Europe,Balanced,"**Job Title:** Entry-Level Procurement
**Location:** Europe

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.

**Competencies:**
- Use insights to identify opportunities and continuously improve customer experience.
- Break down and solve complex business problems.
- Attune to the needs of users.
- Expand personal knowledge and skills.
- Identify, initiate, cultivate, and manage supplier relationships.
- Collaborate with cross-functional teams to ensure effective product marketing.
- Communicate clearly with suppliers.
- Adapt to changing environments.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_055,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,Singapore,Neutral,"**Job Title:** Entry-Level Procurement
**Location:** Singapore

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_056,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,Singapore,Balanced,"**Job Title:** Entry-Level Procurement
**Location:** Singapore

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.

**Competencies:**
- Use insights to identify opportunities and continuously improve customer experience.
- Break down and solve complex business problems.
- Attune to the needs of users.
- Expand personal knowledge and skills.
- Identify, initiate, cultivate, and manage supplier relationships.
- Collaborate with cross-functional teams to ensure effective product marketing.
- Communicate clearly with suppliers.
- Adapt to changing environments.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_057,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,USA,Neutral,"**Job Title:** Senior-Level Procurement
**Location:** USA

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_058,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,USA,Balanced,"**Job Title:** Senior-Level Procurement
**Location:** USA

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.

**Competencies:**
- Use insights to identify opportunities and continuously improve customer experience.
- Break down and solve complex business problems.
- Attune to the needs of users.
- Expand personal knowledge and skills.
- Identify, initiate, cultivate, and manage supplier relationships.
- Collaborate with cross-functional teams to ensure effective product marketing.
- Communicate clearly with suppliers.
- Adapt to changing environments.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_059,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,China,Neutral,"**Job Title:** Senior-Level Procurement
**Location:** China

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_060,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,China,Balanced,"**Job Title:** Senior-Level Procurement
**Location:** China

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.

**Competencies:**
- Use insights to identify opportunities and continuously improve customer experience.
- Break down and solve complex business problems.
- Attune to the needs of users.
- Expand personal knowledge and skills.
- Identify, initiate, cultivate, and manage supplier relationships.
- Collaborate with cross-functional teams to ensure effective product marketing.
- Communicate clearly with suppliers.
- Adapt to changing environments.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_061,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,Europe,Neutral,"**Job Title:** Senior-Level Procurement
**Location:** Europe

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_062,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,Europe,Balanced,"**Job Title:** Senior-Level Procurement
**Location:** Europe

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.

**Competencies:**
- Use insights to identify opportunities and continuously improve customer experience.
- Break down and solve complex business problems.
- Attune to the needs of users.
- Expand personal knowledge and skills.
- Identify, initiate, cultivate, and manage supplier relationships.
- Collaborate with cross-functional teams to ensure effective product marketing.
- Communicate clearly with suppliers.
- Adapt to changing environments.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_063,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,Singapore,Neutral,"**Job Title:** Senior-Level Procurement
**Location:** Singapore

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_064,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,Singapore,Balanced,"**Job Title:** Senior-Level Procurement
**Location:** Singapore

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvement of sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as needed.
- Avoid stock shortfalls while keeping stock levels at a minimum.
- Ensure profitable, sustainable growth in [Location].
- Conduct root cause analysis of supply and production side issues.
- Develop a new portfolio of clients while based in [Location].

**Requirements:**
- Analyze procurement and supply chain processes.
- Create reports and analyze data.
- Grow the product category profitably in line with gross margin targets.
- Build systems to manage sourcing, inspection, merchandising, and shipping.

**Competencies:**
- Use insights to identify opportunities and continuously improve customer experience.
- Break down and solve complex business problems.
- Attune to the needs of users.
- Expand personal knowledge and skills.
- Identify, initiate, cultivate, and manage supplier relationships.
- Collaborate with cross-functional teams to ensure effective product marketing.
- Communicate clearly with suppliers.
- Adapt to changing environments.","P_018377, P_018149, P_020937, P_006603, P_008504, P_018139, P_019299, P_018143, P_007322, P_018153, P_008513, P_008503, P_008465, P_008513, P_008160, P_008161, P_008159, P_018154, P_008498, P_008505, P_020947, P_018159"
EXP_065,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,USA,Neutral,"**Job Title:** Entry-Level Procurement
**Location:** USA

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Improve sourcing activities by identifying and implementing best practices.
- Negotiate prices and contract terms with vendors.
- Work in project teams to develop innovative procurement and supply chain solutions.
- Prepare and review marketing material.
- Ensure profitable and sustainable growth in [Location].
- Review strategic plans and track supply chain project costing activities.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Drive improvements in inventory management processes, forecasting, and surplus management.
- Support sales and operations in developing supply solutions to maintain fulfilment targets.
- Build systems to manage sourcing, inspection, photography, merchandising, reconditioning, financing, insurance, and shipping.
- Analyze forecasted demand versus production and supply capacities and adjust accordingly.
- Perform ongoing supplier evaluation and improvement.","P_018377, P_018149, P_020937, P_018152, P_006603, P_019299, P_018377, P_007322, P_008511, P_018144, P_008465, P_018140, P_018148, P_020947, P_020947, P_008514, P_018159, P_018145, P_008161, P_018158, P_008160, P_018159, P_008467"
EXP_066,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,USA,Balanced,"**Job Title:** Entry-Level Procurement
**Location:** USA

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Improve sourcing activities by identifying and implementing best practices.
- Negotiate prices and contract terms with vendors.
- Work in project teams to develop innovative procurement and supply chain solutions.
- Prepare and review marketing material.
- Ensure profitable and sustainable growth in [Location].
- Review strategic plans and track supply chain project costing activities.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Drive improvements in inventory management processes, forecasting, and surplus management.
- Support sales and operations in developing supply solutions to maintain fulfilment targets.
- Build systems to manage sourcing, inspection, photography, merchandising, reconditioning, financing, insurance, and shipping.
- Analyze forecasted demand versus production and supply capacities and adjust accordingly.
- Perform ongoing supplier evaluation and improvement.

**Competencies:**
- Build relationships with diverse groups.
- Maintain high operational standards through mentoring and coaching.
- Coach, motivate, and develop team members.
- Solve complex business problems while remaining attuned to the needs of users.
- Influence stakeholders of all levels.
- Deliver results by generating insights across complex sets of categories.
- Adapt to changing environments and project goals.
- Harness technology to achieve growth objectives.","P_018377, P_018149, P_020937, P_018152, P_006603, P_019299, P_018377, P_007322, P_008511, P_018144, P_008465, P_018140, P_018148, P_020947, P_020947, P_008514, P_018159, P_018145, P_008161, P_018158, P_008160, P_018159, P_008467"
EXP_067,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,China,Neutral,"**Job Title:** Entry-Level Procurement
**Location:** China

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Improve sourcing activities by identifying and implementing best practices.
- Negotiate prices and contract terms with vendors.
- Work in project teams to develop innovative procurement and supply chain solutions.
- Prepare and review marketing material.
- Ensure profitable and sustainable growth in [Location].
- Review strategic plans and track supply chain project costing activities.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Drive improvements in inventory management processes, forecasting, and surplus management.
- Support sales and operations in developing supply solutions to maintain fulfilment targets.
- Build systems to manage sourcing, inspection, photography, merchandising, reconditioning, financing, insurance, and shipping.
- Analyze forecasted demand versus production and supply capacities and adjust accordingly.
- Perform ongoing supplier evaluation and improvement.","P_018377, P_018149, P_020937, P_018152, P_006603, P_019299, P_018377, P_007322, P_008511, P_018144, P_008465, P_018140, P_018148, P_020947, P_020947, P_008514, P_018159, P_018145, P_008161, P_018158, P_008160, P_018159, P_008467"
